symbol,date,price,action,trade_profit,total_profit
SFMF,2022-02-12,11.65,Sell,-0.5800000000000001,2.92
SFMF,2023-06-18,10.51,Buy,,
SFMF,2023-07-02,10.77,Sell,0.2599999999999998,3.1799999999999997
SFMF,2023-07-09,10.85,Buy,,
SFMF,2023-07-26,11.06,Sell,0.21000000000000085,3.3900000000000006
SFMF,2023-08-09,11.0,Buy,,
SFMF,2023-08-20,11.16,Sell,0.16000000000000014,3.5500000000000007
SFMF,2023-09-05,11.3,Buy,,
SFMF,2023-09-07,11.28,Sell,-0.02000000000000135,3.5299999999999994
SFMF,2024-02-15,9.92,Buy,,
SFMF,2024-02-20,9.57,Sell,-0.34999999999999964,3.1799999999999997
SFMF,2024-02-22,9.6,Buy,,
SFMF,2024-02-25,9.47,Sell,-0.129999999999999,3.0500000000000007
SFMF,2024-03-31,9.81,Buy,,
SFMF,2024-04-07,9.61,Sell,-0.20000000000000107,2.8499999999999996
SFMF,2024-05-07,9.71,Buy,,
SFMF,2024-05-12,9.92,Sell,0.20999999999999908,3.0599999999999987
SFMF,2024-06-19,10.0,Buy,,
SFMF,2024-06-30,10.04,Sell,0.03999999999999915,3.099999999999998
SFMF,2024-07-16,10.41,Buy,,
SFMF,2024-07-23,10.75,Sell,0.33999999999999986,3.4399999999999977
SFMF,2024-07-29,11.22,Buy,,
SFMF,2024-08-11,11.08,Sell,-0.14000000000000057,3.299999999999997
SFMF,2025-05-15,10.71,Buy,,
SFMF,2025-05-18,10.29,Sell,-0.4200000000000017,2.8799999999999955
SFMF,,,STOCK_PROFIT,,2.8799999999999955
SGHC,2024-01-10,293.1,Buy,,
SGHC,2024-01-24,318.5,Sell,25.399999999999977,25.399999999999977
SGHC,2024-07-01,335.9,Buy,,
SGHC,2024-07-09,334.1,Sell,-1.7999999999999545,23.600000000000023
SGHC,2024-07-21,383.1,Buy,,
SGHC,2024-08-05,443.0,Sell,59.89999999999998,83.5
SGHC,2024-11-20,453.0,Buy,,
SGHC,2024-11-24,435.0,Sell,-18.0,65.5
SGHC,2024-12-01,447.0,Buy,,
SGHC,2024-12-10,460.0,Sell,13.0,78.5
SGHC,2025-01-15,555.0,Buy,,
SGHC,2025-02-03,604.0,Sell,49.0,127.5
SGHC,,,STOCK_PROFIT,,127.5
SGIC,2025-01-28,679.0,Buy,,
SGIC,2025-02-12,690.0,Sell,11.0,11.0
SGIC,2025-03-05,703.3,Buy,,
SGIC,2025-03-10,688.0,Sell,-15.299999999999955,-4.2999999999999545
SGIC,,,STOCK_PROFIT,,-4.2999999999999545
SHEL,2021-07-28,531.0,Buy,,
SHEL,2021-08-02,537.0,Sell,6.0,6.0
SHEL,2021-08-07,545.0,Buy,,
SHEL,2021-08-08,556.1,Sell,11.100000000000023,17.100000000000023
SHEL,2021-09-05,524.0,Buy,,
SHEL,2021-09-07,495.0,Sell,-29.0,-11.899999999999977
SHEL,2023-12-04,250.0,Buy,,
SHEL,2023-12-07,249.9,Sell,-0.09999999999999432,-11.999999999999972
SHEL,2023-12-17,278.0,Buy,,
SHEL,2023-12-20,279.5,Sell,1.5,-10.499999999999972
SHEL,2023-12-24,286.0,Buy,,
SHEL,2023-12-28,286.0,Sell,0.0,-10.499999999999972
SHEL,2024-07-22,211.0,Buy,,
SHEL,2024-07-30,216.0,Sell,5.0,-5.499999999999972
SHEL,2024-08-06,230.9,Buy,,
SHEL,2024-08-25,287.0,Sell,56.099999999999994,50.60000000000002
