symbol,date,open,high,low,close,volume,turnover
GIBF1,2025/06/29,10.46,10.65,10.46,10.62,"45,500","483,097.20"
GIBF1,2025/06/26,10.40,10.60,10.40,10.44,"2,700","28,467.00"
GIBF1,2025/06/25,10.36,10.50,10.36,10.49,"4,700","49,244.00"
GILB,2025/06/29,"1,225.00","1,267.00","1,225.00","1,259.95","3,775","4,684,715.70"
GILB,2025/06/26,"1,222.00","1,249.00","1,222.00","1,233.50",871,"1,073,312.70"
GILB,2025/06/25,"1,236.00","1,250.00","1,220.00","1,235.00","2,940","3,628,969.30"
GLBSL,2025/06/29,"2,163.10","2,300.00","2,161.00","2,285.08","17,280","37,911,754.80"
GLBSL,2025/06/26,"2,151.00","2,198.00","2,150.00","2,165.00","1,098","2,383,684.00"
GLBSL,2025/06/25,"2,110.00","2,170.00","2,110.00","2,145.10","1,041","2,232,848.70"
GLH,2025/06/29,275.00,279.00,271.20,275.97,"135,650","37,315,139.10"
GLH,2025/06/26,266.90,287.00,266.90,275.78,"416,558","117,428,289.10"
GLH,2025/06/25,258.10,276.00,258.10,272.33,"149,769","40,287,155.90"
GMFBS,2025/06/29,"1,466.00","1,495.00","1,453.20","1,487.98",650,"957,044.60"
GMFBS,2025/06/26,"1,469.00","1,470.00","1,464.50","1,466.00",218,"319,487.50"
GMFBS,2025/06/25,"1,470.00","1,505.80","1,455.00","1,494.30","1,102","1,629,482.40"
GMFIL,2025/06/29,477.80,477.80,469.00,470.89,"23,629","11,122,589.00"
GMFIL,2025/06/26,469.00,475.00,469.00,470.94,"26,051","12,286,077.20"
GMFIL,2025/06/25,474.00,476.10,471.00,471.29,"13,716","6,490,818.30"
GMLI,2025/06/29,"2,177.00","2,220.00","2,138.00","2,158.89","2,342","5,043,225.00"
GMLI,2025/06/26,"2,150.10","2,204.00","2,150.10","2,177.59","4,723","10,285,643.30"
GMLI,2025/06/25,"2,166.00","2,233.00","2,140.10","2,161.17","4,888","10,623,227.50"
GRDBL,2025/06/29,"1,328.00","1,380.00","1,320.10","1,366.42","49,032","66,419,687.40"
GRDBL,2025/06/26,"1,208.00","1,311.70","1,194.00","1,301.97","59,961","76,522,627.00"
